Категория,Анализ,Биоматериал,Описание,Стоимость,Готовность в течении
Аллергены,"Авокадо IgE, F96",Сыворотка,Определение специфического иммуноглобулина Е к данному аллергену в повышенном количестве указывает на наличие сенсибилизации организма к нему.,990,4
Аллергены,"Акация (Acacia species) IgE, T19",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к пыльце акации. Самым распространенным видом аллергии является пыльцевая аллергия, которая наиболее часто имеет сезонный характер и связана напрямую с периодом цветения растений, к пыльце которых имеется сенсибилизация - поллиноз.",890,4
Аллергены,"Альфа-лактальбумин, аллергокомпонент, f76 nBos d4",Сыворотка,"Количественное определение специфических иммуноглобулинов класса G (IgG-антител), которые могут быть признаком пищевой непереносимости альфа-лактальбумина.",890,3
Аллергены,"Амброзия обыкновенная (Ambrosia elatior) IgE, W1",Сыворотка,"Выявление антител класса IgЕ к аллергенам травы амброзии. Иммуноглобулины Е отвечают за быстрый ответ на контакт с аллергеном. В большинстве случаев гиперчувствительность к аллергенам пыльцы амброзии проявляется симптомами аллергического ринита или конъюнктивита, но может способствовать и развитию обострения бронхиальной астмы. Назначается для диагностики IgE-зависимой аллергии.",890,4
Аллергены,"Амоксициллин IgE, C204",Сыворотка,"Амоксициллин – антибиотик широкого спектра действия из группы пенициллинов. Он относится к препаратам первой линии для лечения среднего отита и синусита, а также многих других бактериальных инфекций различных локализаций у детей и взрослых. Достаточно распространены специфические реакции именно на амоксициллин. Также известно, что с течением времени пациенты могут утрачивать гиперчувствительность к антибиотикам и переносить их прием без последствий.",890,4
Аллергены,"Ампициллин IgE, C203",Сыворотка,"Ампициллин – полусинтетический антибиотик широкого спектра действия из группы пенициллинов. Немедленные реакции на антибиотики могут проявится крапивницей, ангиоотеком, ринитом, конъюнктивитом, ларингоспазмом, бронхоспазмом или анафилактическим шоком.",890,4
Аллергены,"Ананас IgE, F210",Сыворотка,"Количественное определение специфических IgE-антител к ананасу. Употребление ананаса сенсибилизированными лицами может вызвать развитие симптомов бронхиальной астмы, атопического дерматита, аллергического ринита и желудочно-кишечных расстройств. Наиболее часто наблюдается развитие орального аллергического синдрома (зуд в области рта), острая крапивница, боли в области живота, тошнота, расстройство стула. Возможно развитие системных анафилактических реакций.",990,4
Аллергены,"Апельсин IgE, F33",Сыворотка,"Апельсины – наиболее распространенные представители цитрусовых, сильные аллергены. Проявляется нарушением функции пищеварительной системы, кожными проявлениями или нарушениями функции дыхательной системы.",890,4
Аллергены,"Арахис IgE, F13",Сыворотка,Определение аллергенспецифических иммуноглобулинов класса E к белкам арахиса в крови. Арахис является сильным аллергеном. Aнaфилaктичecкий шoк - сaмaя cильнaя и oпacнaя paзнoвиднocть aллepгичecкoй peaкции нa apaxиc.,890,4
Аллергены,"Баклажан IgE, F262",Сыворотка,"Количественное определение специфических IgE-антител к баклажану – растению, которое может вызвать проявления аллергии на себя и других представителей семейства пасленовых. Аллергические реакции могут протекать легко, например, появлением крапивницы или оральной аллергией.",890,4
Аллергены,"Банан IgE, F92",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции на банан, которая проявляется нарушением функции пищеварительной системы (хейлит, гастрит, колит, гастроэнтерит, синдром раздраженной кишки), кожными проявлениями (атопический дерматит, крапивница, отек Квинке) и реже нарушениями функции дыхательной системы (аллергический ринит, бронхиальная астма). Иногда аллергия на банан является причиной перекрестной реакции на латекс.",890,4
Аллергены,"Баранина IgE, F88",Сыворотка,Определение специфического иммуноглобулина Е к данному аллергену в повышенном количестве свидетельствует об острой аллергической реакции.,890,4
Аллергены,"Белок яичный IgE, F1",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к яичному белку. Симптомами непереносимости яиц обычно являются покраснение и зуд кожи, ангионевротический отек, риноконъюнктивит, отек гортани, кашель и бронхоспазм, тошнота, рвота, боль в области живота и диарея.",890,4
Аллергены,"Береза (Betula alba) IgE, T3",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к пыльце березы. Назначается для диагностики IgE-зависимой аллергии.",890,4
Аллергены,"Бета-лактоглобулин, аллергокомпонент, f77 nBos d5",Сыворотка,Количественное определение в крови специфических иммуноглобулинов класса E к одному из главных аллергенов коровьего молока – сывороточному белку бета-лактоглобулину.,890,3
Аллергены,"Ваниль IgE, F234",Сыворотка,"Определение специфического иммуноглобулина Е к ванили в повышенном количестве свидетельствует об острой аллергической реакции. Ваниль относят к группе гипоаллергенных продуктов, но и при ее употреблении иногда возникают аллергические реакции, которые могут проявляться в виде сыпи, отеков, дискомфорта в желудке, астмы и экземы.",890,4
Аллергены,"Виноград IgE, F259",Сыворотка,Количественное определение специфических IgE-антител позволяет оценить взаимосвязь между уровнем антител и клиническими проявлениями аллергии. Определение специфического иммуноглобулина Е к данному аллергену в повышенном количестве свидетельствует об острой аллергической реакции.,890,4
Аллергены,"Вишня IgE, F242",Сыворотка,"Определение специфического иммуноглобулина Е к вишне в повышенном количестве указывает на наличие сенсибилизации организма к этому аллергену, его относят к средней степени аллергизирующей активности.",890,4
Аллергены,"Вяз (Ulmus spp) IgE, T8",Сыворотка,"Вяз – это широколиственное дерево, широко встречающееся в дикой природе и в качестве зеленых насаждений. Ингаляционное воздействие пыльцы вяза вызывает симптомы сезонного ринита, конъюнктивита, приступы бронхиальной астмы у сенсибилизированных лиц. В научной литературе описаны случаи возникновения аллергического дерматита после контакта кожи рук с древесиной вяза.",890,4
Аллергены,"Говядина IgE, F27",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к говядине.",890,4
Аллергены,"Горошек зеленый IgE, F12",Сыворотка,"Количественное определение специфических IgE-антител к зеленому горошку, который может вызвать проявления аллергии у сенсибилизированных лиц. Может вызвать симптомы пищевой аллергии.",890,4
Аллергены,"Горчица IgE, F89",Сыворотка,"Определение специфического иммуноглобулина Е к горчице в повышенном количестве свидетельствует об острой аллергической реакции. Зачастую наблюдается перекрестная аллергическая реакция на брокколи, турнепс, капусту, цветную капусту, брюкву, рапс, орехи, бобовые и к пыльце сорных трав.",890,4
Аллергены,"Грейпфрут IgE, F209",Сыворотка,"Выявление специфических IgE антитела к грейпфруту. Обнаруживаются у пациентов с атопическим дерматитом, крапивницей, аллергическим ринитом и бронхиальной астмой. Были случаи связанной с приемом пищи физически обусловленной анафилактической реакции после употребления грейпфрута. Также необходимо учитывать, что при чрезмерном употреблении грейпфрута, как и других цитрусовых, возможно развитие псевдоаллергических реакций, не связанных с иммунными механизмами.",890,4
Аллергены,"Грецкий орех IgE, F256",Сыворотка,"Целью данного исследования является определение специфических IgE к аллергену грецкого ореха. Наиболее распространены аллергические реакции, которые могут отличаться тяжелым течением (возможно также развитие респираторной аллергии на пыльцу грецкого дерева).",890,4
Аллергены,"Груша IgE, F94",Сыворотка,"Целью данного исследования является определение специфических IgE к груше. Аллерген вызывает системные аллергические реакции в виде крапивницы, отека Квинке, анафилактического шока.",890,4
Аллергены,"Домашняя пыль (Greer), h1",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к домашней пыли.",890,4
Аллергены,"Домашняя пыль (Holister), h2",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к домашней пыли.",890,4
Аллергены,"Дрожжи пекарские IgE, F45",Сыворотка,"Дрожжи Saccharomyces cerevisiae – одноклеточные грибы, широко применяемые в хлебопечении и пивоварении. У сенсибилизированных S. сerevisiae может возникнуть аллергический ринит, бронхиальная астма, атопический дерматит и даже гиперсенситивный пневмонит.",890,4
Аллергены,"Дуб белый (Quercus alba) IgE, T7",Сыворотка,"Определение специфических IgE к аллергенам дуба белого. Антитела класса IgE вызывают реакции немедленного типа, при которых симптомы развиваются непосредственно после контакта с аллергеном.",890,4
Аллергены,"Дыня IgE, F87",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к дыне. Наиболее частая аллергическая реакция на дыню – синдром оральной аллергии, проявления со стороны желудочно-кишечного тракта: тошнота, рвота и диарея, в некоторых случаях системные проявления в виде крапивницы, отека Квинке, анафилактического шока.",890,4
Аллергены,"Ежа сборная (Dactylis glomerata) IgE, G3",Сыворотка,"Выявление антител класса IgЕ к аллергенам ежы сборной. Иммуноглобулины Е отвечают за быстрый ответ на контакт с аллергеном. Если организм не имел контакта с данным аллергеном, тест будет отрицательным. Назначается для диагностики IgE-зависимой аллергии.",890,4
Аллергены,"Желток яичный IgE, F75",Сыворотка,"Целью данного теста является количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к яичному желтку.",890,4
Аллергены,"Ива (Salix nigra) IgE, T12",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к иве белой.",890,4
Аллергены,"Имбирь IgE, F270",Сыворотка,"Целью данного исследования является определение специфических IgE к имбирю. Имбирь является частым ингредиентом различных пищевых добавок, приправ и др. Симптомы аллергии могут появиться уже через 3-5 мин. после контакта с аллергеном, как правило, со временем они нарастают и достигают максимума через 1-3 ч. Реакции гиперчувствительности по немедленному и замедленному типу протекают у сенсибилизированных лиц в виде таких клинических проявлений, как отек лица, горла, осиплость голоса, затруднения дыхания, хрипы, кожные высыпания красного цвета, сопровождающиеся сильным зудом, и эта сыпь может локализоваться на руках и ногах.",890,4
Аллергены,"Индейка IgE, F284",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к индейке.",890,4
Аллергены,"Казеин IgE, F78",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к казеину - основному белку коровьего молока.",890,4
Аллергены,"Какао IgE, F93",Сыворотка,"Целью данного теста является определение аллергической реакции к какао. В какао содержится большое количество веществ, наличие в составе серотонина, триптофана и фенилэтиламина обуславливает антидепрессантное действие и возможные аллергические реакции.",890,4
Аллергены,"Камбала IgE, F254",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к камбале.",890,1
Аллергены,"Капуста брокколи IgE, F260",Сыворотка,Количественное определение специфических IgE-антител к брокколи. Аллергия на брокколи выявляется редко. У пациентов с аллергией на брокколи может быть перекрестная аллергия с другими видами капусты.,890,4
Аллергены,"Капуста кочанная IgE, F216",Сыворотка,"Количественное определение специфических IgE-антител к капусте кочанной, которая может вызвать проявления аллергии у сенсибилизированных лиц. Реакции гиперчувствительности на капусту кочанную могут проявляться после употребления её в пищу, вдыхания пыльцы или контакта с кожей.",890,4
Аллергены,"Карри (приправа) IgE, F281",Сыворотка,"Карри приправу относят к средней степени аллергизирующей активности. Чаще всего встречаются такие проявления, как заболевания пищеварительной системы, кожи и органов дыхания. Определение специфического иммуноглобулина Е к данному аллергену в повышенном количестве свидетельствует об острой аллергической реакции (гиперчувствительность немедленного типа).",890,4
Аллергены,"Картофель IgE, F35",Сыворотка,"Количественное определение специфических IgE-антител позволяет оценить взаимосвязь между уровнем антител и клиническими проявлениями аллергии. Аллергия на картофель, как правило, проявляется нарушением функции пищеварительной системы, кожными проявлениями и реже нарушениями функции дыхательной системы.",890,4
Аллергены,"Кешью IgE, F202",Сыворотка,"Определение аллергенспецифических иммуноглобулинов класса E к кешью. Орех кешью является очень сильным аллергеном, даже более сильным, чем арахис. Такие тяжелые проявления аллергии, как тяжелый приступ бронхиальной астмы и падение артериального давления (анафилактический шок), при сенсибилизации к орехам кешью возникают значительно чаще, чем при сенсибилизации к арахису.",890,4
Аллергены,"Киви IgE, F84",Сыворотка,"Определение специфического иммуноглобулина Е к данному аллергену в повышенном количестве свидетельствует об острой аллергической реакции (гиперчувствительность немедленного типа). Аллергия на киви у взрослых проходит тяжелее, чем у детей. Хотя груднички переносят аллергию хуже всех, даже если аллерген поступает к ним через грудное молоко. Симптомы могут появиться сразу или в течение 1-2 дней. У ребёнка это обычно сыпь и красные пятна на коже, у взрослых проблемы с дыхательной системой.",890,4
Аллергены,"Клен ясенелистный (Acer negundo) IgE, T1",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к клену ясенелистному. К проявлениям аллергических реакций на пыльцу клена относятся сенная лихорадка, сезонный аллергический ринит, конъюнктивит, обострения бронхиальной астмы, возникающие в регионах распространения дерева. Описаны случаи развития аллергического контактного дерматита после воздействия пыльцы дерева на кожу сенсибилизированных лиц.",890,4
Аллергены,"Клещ домашней пыли D. pteronyssinus, d1",Сыворотка,"Количественное определение в крови специфических антител класса иммуноглобулинов E, появляющихся при наличии аллергической реакции к клещу домашней пыли Dermatophagoides pteronyssinus.",890,4
Аллергены,"Клещ домашней пыли D.farinae, d2",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к клещу домашней пыли Dermatophagoides farinae.",890,4
Аллергены,"Клубника IgE, F44",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к клубнике. Аллергия на клубнику, как правило, сопровождается нарушением функции пищеварительной системы (хейлит, гастрит, колит, гастроэнтерит, синдром раздраженного кишечника), кожными проявлениями (атопический дерматит, крапивница, отек Квинке) и реже нарушениями функции дыхательной системы (аллергический ринит, бронхиальная астма).",890,4
Аллергены,"Кокос IgE, F36",Сыворотка,"Количественное определение специфических IgE-антител к кокосу, который может вызвать проявления аллергии у сенсибилизированных лиц. Кокос относится к гипоаллергенным пищевым продуктам, однако он является редкой, но возможной причиной развития аллергических реакций у сенсибилизированных лиц. Аллергия на данный пищевой продукт может проявиться зудом во рту, кашлем, одышкой, бронхоспазмом, покраснением кожи, ангиоотеком, крапивницей, болью в животе, тошнотой, рвотой. В редких случаях возможны тяжелые жизнеугрожающие анафилактические реакции после употребления в пищу кокоса. Общий результат для всех аллергенов.",890,4
Аллергены,"Колосок душистый (Anthoxantum odoratum) IgE, G1",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к колоску душистому.",890,4
Аллергены,"Комар (сем. Culicidae) IgE, I71",Сыворотка,"Основным аллергеном комара является его слюна, которая попадает в организм человека посредством укуса насекомого. Кроме того, при укусе комара возможно попадание в организм человека и продуктов его жизнедеятельности, что тоже может вызывать сенсибилизацию организма к этим антигенам. Проявлениями аллергии могут быть как местные реакции в виде аллергического дерматита, так и общие: крапивница, отек Квинке, анафилактический шок. Определение специфического иммуноглобулина Е к данному аллергену в повышенном количестве указывает на наличие сенсибилизации организма к нему.",890,4
Аллергены,Комплекс аллергенов домашних животных,Сыворотка,"Исследование включает в себя определение в крови специфического иммуноглобулина класса E (IgE) к эпителию кошки, морской свинки, хомяка, перхоти собаки и лощади, а также к перу волнистого попугая.",5590,4
Аллергены,Комплекс аллергенов популярных продуктов питания,Сыворотка,"Исследование включает в себя определение в крови специфического иммуноглобулина класса E (IgE) к апельсину, банану, винограду, груше, клубнике, яблоку, брокколи, капусте кочанной, томатам, говядине, индейке, креветкам, лососю, картофелю, моркови, дрожжам пекарским, кофе, яичному белку и желтку, сыру.",17990,5
Аллергены,"Комплекс аллергенов растений, вызывающих поллиноз",Сыворотка,"Исследование включает в себя определение в крови специфического иммуноглобулина класса E (IgE) к тополю, липе, ольхе, березе, полыни, дубу, клёну, амброзии, еже, пшенице, ржи, тимофеевке.",11990,4
Аллергены,"Кострец безостый (Bromus inermis) IgE, G11",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к кострецу безостому.",890,4
Аллергены,"Кофе IgE, F221",Сыворотка,"Целью данного исследования является определение специфических IgE к аллергенам кофе. Реакция на мелкодисперсную пыль зеленых кофейных бобов проявляется бронхиальной астмой, аллергическим ринитом и/или конъюнктивитом, контактным дерматитом.",890,4
Аллергены,"Кошка (эпителий) IgE, E1",Сыворотка,"Целью данного теста является определение аллергической реакции к эпителию и перхоти кошки. Симптомы аллергии могут быть следующие: гиперемия, кожные высыпания, крапивница, зуд и расчесывание на коже, припухлости и отеки, покраснение и жжение слизистой глаз, слезотечение, отек век, чихание, кашель, одышка, бронхоспазм.",890,4
Аллергены,"Крапива двудомная (Urtica dioica) IgE, W20",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к пыльце крапивы двудомной. Основные симптомы аллергии проявляются со стороны слизистых оболочек глаз, носа, верхних и нижних дыхательных путей. Наиболее выраженными будут проявления со стороны слизистой глаз и носа - риноконъюнктивальный синдром. Изначально симптомы аллергии могут выражаться в виде жжения и зуда под веками, краснотой и слезотечением, ощущением песка или инородных предметов в области глаз, светобоязни.",890,4
Аллергены,"Креветки IgE, F24",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к креветкам.",890,5
Аллергены,"Кунжут IgE, F10",Сыворотка,"Кунжут, или сезам, является распространенной пряностью. Аллергические реакции на кунжут чаще встречаются у людей с определенными заболеваниями внутренних органов. При заболеваниях органов пищеварения, щитовидной железы стоит отказаться от употребления кунжута в любом виде. Большое значение имеет состояние иммунной системы. Если она ослаблена, когда кунжут попадает в организм, сразу начинаются аллергические реакции.",890,4
Аллергены,"Курица (перо) IgE, E85",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к перу курицы.",890,4
Аллергены,"Лавровый лист IgE, F278",Сыворотка,"Аллергия на лавровый лист – довольно редкое явление, но и при его употреблении иногда возникают аллергические реакции, которые могут проявляться в виде сыпи, отеков, дискомфорта в желудке, астмы и экземы. Определение специфического иммуноглобулина Е к данному аллергену в повышенном количестве свидетельствует об острой аллергической реакции (гиперчувствительность немедленного типа).",890,4
Аллергены,"Латекс IgE, K82",Сыворотка,"Латекс производится из молочной жидкости, выделяемой каучуковым деревом – бразильской гевеей. Воздействие латексного аллергена может привести к дерматиту, крапивнице, конъюнктивиту, риниту, приступу бронхиальной астмы и анафилактическому шоку, в некоторых случаях отмечаются желудочно-кишечные расстройства. Сенсибилизация к латексу наиболее надежно и безопасно подтверждается с помощью измерения латекс-специфического иммуноглобулина E.",890,4
Аллергены,"Лещина обыкновенная (Corylus avellana) IgE, T4",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к пыльце лещины обыкновенной. Встречаются перекрёстные аллергические реакции на пыльцу дуба, ольхи, берёзы, бука, а также на некоторые пищевые аллергены - мёд, яблоки, орехи, вишни, персики, абрикосы, черешню, клубнику, молодой картофель, морковь, маслины, оливки, берёзовый сок, коньяк.",890,4
Аллергены,"Лимон IgE, F208",Сыворотка,"Количественное определение специфических IgE-антител позволяет оценить взаимосвязь между уровнем антител и клиническими проявлениями аллергии. Аллергия к лимону, как правило, проявляется нарушением функции пищеварительной системы (хейлит, гастрит, колит, гастроэнтерит, синдром раздраженной кишки), кожными проявлениями (атопический дерматит, крапивница, отек Квинке) и реже - нарушениями функции дыхательной системы (аллергический ринит, бронхиальная астма).",890,4
Аллергены,"Липа, t208",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к пыльце липы.",890,4
Аллергены,"Лосось IgE, F41",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к лососю.",890,5
Аллергены,"Лошадь (перхоть) IgE, E3",Сыворотка,"Перхоть лошади является очень сильным аллергеном и может вызывать тяжелые приступы удушья, например при посещении цирка или катании на лошадях. Аллергия к перхоти лошади может проявляться в виде ринита (заложенности носа и насморка), конъюнктивита (покраснения и слезотечения глаз), бронхиальной астмы (приступов затрудненного и свистящего дыхания), зуда, пятен и расчесов на коже.",890,4
Аллергены,"Лук IgE, F48",Сыворотка,"Количественное определение специфических IgE-антител к репчатому луку. Часто симптомы аллергии возникают в виде риноконъюнктивита, одышки и кашля.",890,4
Аллергены,"Миндаль IgE, F20",Сыворотка,"Количественное определение специфических IgE-антител к миндалю, который может вызвать тяжелые аллергические реакции у сенсибилизированных лиц. Миндаль является частой причиной развития сенсибилизации и клинических проявлений аллергии.",890,4
Аллергены,"Молоко кипяченое IgE, F231",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к кипяченому молоку.",890,4
Аллергены,"Молоко коровье IgE, F2",Сыворотка,"Количественное определение в крови специфических антител, иммуноглобулинов класса E, появляющихся при наличии аллергической реакции к коровьему молоку.",890,4
Аллергены,"Моль (сем. Tineidae) IgE, I8",Сыворотка,"Платяная моль (Tineola bisselliella) – вид бабочек, относящийся к домашним вредителям. Моль предпочитает селиться в темных помещениях, щелях, шкафах. Отделяющиеся чешуйки с крыльев платяной моли входят в состав домашней пыли и вызывают симптомы в виде аллергического ринита и приступы бронхиальной астмы. Сенсибилизация к аллергенам платяной моли подтверждается определением высокого титра специфических IgE в сыворотке крови.",890,4
Аллергены,"Морковь IgE, F31",Сыворотка,Количественное определение специфических IgE-антител к моркови.,890,4
Аллергены,"Морская свинка (эпителий) IgE, E6",Сыворотка,"Аллергия на морских свинок провоцируется индивидуальным аллергеном — специфическим иммуноглобулином Е, который вырабатывается в эпителиальных клетках животного. При попадании в человеческий организм этот белок может вызвать аллергическую реакцию. Повышается выработка гистамина и из-за этого вещества возникают раздражение и отеки слизистых оболочек, спазмы мускулатуры бронхов, а также другие типичные явления.",890,4
